date,region,product,units_sold,unit_price,unit_cost,revenue,profit
2022-11-12,West,Widget D,131,94.37,51.19,12362.47,5656.58
2022-11-13,North,Widget A,182,95.18,62.05,17322.76,6029.66
2022-11-15,South,Widget B,191,96.58,53.74,18446.78,8182.44
2022-11-17,East,Widget C,370,43.92,23.36,16250.4,7607.2
2022-11-19,West,Widget D,415,48.57,23.39,20156.55,10449.7
2022-11-21,North,Widget A,213,109.3,46.36,23280.9,13406.22
2022-11-22,South,Widget B,127,43.13,26.23,5477.51,2146.3
2022-11-24,East,Widget C,411,41.4,21.71,17015.4,8092.59
2022-11-26,West,Widget D,219,74.26,38.97,16262.94,7728.51
2022-11-28,North,Widget A,155,103.29,53.38,16009.95,7736.05
2022-11-30,South,Widget B,444,78.41,47.72,34814.04,13626.36
2022-12-01,East,Widget C,488,108.07,61.89,52738.16,22535.84
2022-12-03,West,Widget D,294,20.59,10.41,6053.46,2992.92
2022-12-05,North,Widget A,435,59.0,39.38,25665.0,8534.7
2022-12-07,South,Widget B,477,61.9,38.64,29526.3,11095.02
2022-12-09,East,Widget C,329,99.99,66.93,32896.71,10876.74
2022-12-10,West,Widget D,299,41.94,22.26,12540.06,5884.32
2022-12-12,North,Widget A,64,58.89,35.37,3768.96,1505.28
2022-12-14,South,Widget B,458,60.43,27.16,27676.94,15237.66
2022-12-16,East,Widget C,289,111.95,77.72,32353.55,9892.47
2022-12-18,West,Widget D,323,22.7,11.76,7332.1,3533.62
2022-12-19,North,Widget A,338,86.3,36.69,29169.4,16768.18
2022-12-21,South,Widget B,269,33.57,18.08,9030.33,4166.81
2022-12-23,East,Widget C,75,46.02,22.93,3451.5,1731.75
2022-12-25,West,Widget D,282,52.68,33.1,14855.76,5521.56
