order_id,order_date,region,store_id,salesperson_id,product_category,product_name,sales_channel,customer_segment,customer_age,units_sold,unit_price,discount_pct,revenue,cost,profit,profit_margin_pct,marketing_spend,satisfaction_score,payment_method
ORD-2024-00026,2024-05-20,North,ST-06,SP-34,Food & Beverage,Gourmet Nuts Bundle,Online,Consumer,51,8,27.14,12.1,193.63,86.78,106.85,55.18,16.38,5.8,Credit Card
ORD-2024-00027,2024-06-25,East,ST-18,SP-33,Food & Beverage,Gourmet Nuts Bundle,In-Store,SMB,52,10,27.14,16.1,170.16,58.13,112.03,65.84,7.94,7.0,Credit Card
ORD-2024-00028,2024-06-19,North,ST-03,SP-16,Clothing,Casual Shirt,Partner,Enterprise,31,19,178.38,12.9,2508.05,975.61,1532.44,61.1,236.9,7.8,Credit Card
ORD-2024-00029,2024-08-12,South,ST-08,SP-27,Clothing,Sports Hoodie,Partner,Enterprise,58,10,111.33,19.6,1022.69,431.38,591.31,57.82,95.52,9.8,Credit Card
ORD-2023-00030,2023-03-28,East,ST-15,SP-28,Food & Beverage,Energy Drink Case,Online,Consumer,47,8,13.54,18.7,98.15,43.88,54.27,55.29,8.01,6.5,Debit Card
ORD-2024-00031,2024-03-17,East,ST-18,SP-02,Electronics,Gaming Mouse,Online,Consumer,25,6,261.24,5.1,1677.3,1015.71,661.59,39.44,155.22,6.0,Credit Card
ORD-2024-00032,2024-05-13,South,ST-07,SP-31,Electronics,Laptop Pro,Partner,SMB,63,4,390.62,13.9,1508.95,1073.52,435.43,28.86,123.68,9.1,Credit Card
ORD-2022-00033,2022-02-11,East,ST-14,SP-09,Food & Beverage,Organic Coffee Box,In-Store,SMB,66,14,52.46,4.6,633.97,247.94,386.03,60.89,29.13,9.1,Credit Card
ORD-2023-00034,2023-09-30,North,ST-01,SP-20,Food & Beverage,Energy Drink Case,In-Store,Consumer,26,4,13.54,3.6,54.59,22.7,31.89,58.42,2.64,8.8,Debit Card
ORD-2022-00035,2022-09-05,West,ST-23,SP-03,Clothing,Denim Jeans,In-Store,Enterprise,63,36,124.2,15.6,3960.64,1563.56,2397.08,60.52,202.23,6.3,Credit Card
ORD-2022-00036,2022-11-10,South,ST-12,SP-34,Sports & Outdoors,Camping Tent,In-Store,Consumer,52,5,125.54,6.6,548.81,231.45,317.36,57.83,27.68,5.8,Credit Card
ORD-2023-00037,2023-07-26,West,ST-20,SP-49,Food & Beverage,Gourmet Nuts Bundle,In-Store,SMB,53,8,27.14,9.0,206.5,72.94,133.56,64.68,7.06,7.3,Cash
ORD-2023-00038,2023-07-20,East,ST-17,SP-13,Electronics,Gaming Mouse,In-Store,Consumer,66,8,261.24,8.4,2569.92,1420.99,1148.93,44.71,90.11,9.1,Credit Card
ORD-2024-00039,2024-04-08,East,ST-15,SP-43,Food & Beverage,Energy Drink Case,In-Store,SMB,57,17,13.54,5.9,275.33,92.98,182.35,66.23,8.51,7.6,Credit Card
ORD-2023-00040,2023-01-15,North,ST-06,SP-31,Clothing,Sports Hoodie,Partner,Consumer,40,4,111.33,6.2,398.01,171.35,226.66,56.95,35.08,8.0,Bank Transfer
ORD-2024-00041,2024-12-29,North,ST-01,SP-04,Food & Beverage,Premium Tea Set,In-Store,Consumer,28,5,49.25,8.7,326.22,119.42,206.8,63.39,10.58,10.0,Bank Transfer
ORD-2024-00042,2024-09-05,North,ST-01,SP-26,Food & Beverage,Gourmet Nuts Bundle,In-Store,Enterprise,31,29,27.14,3.3,846.66,285.52,561.14,66.28,35.05,8.2,Cash
ORD-2024-00043,2024-05-02,East,ST-17,SP-15,Home & Garden,LED Desk Lamp,In-Store,SMB,59,12,310.44,10.3,3608.76,1482.63,2126.13,58.92,184.2,9.3,Bank Transfer
ORD-2023-00044,2023-03-09,South,ST-07,SP-11,Clothing,Sports Hoodie,Online,Enterprise,50,40,111.33,6.2,4035.16,1664.13,2371.03,58.76,362.9,8.6,Debit Card
ORD-2024-00045,2024-07-18,North,ST-02,SP-17,Home & Garden,Garden Tool Kit,In-Store,Consumer,34,4,239.74,11.7,1028.27,579.44,448.83,43.65,49.19,8.3,Credit Card
ORD-2023-00046,2023-09-22,East,ST-17,SP-19,Food & Beverage,Energy Drink Case,In-Store,Consumer,39,8,13.54,8.2,120.27,46.87,73.4,61.03,5.93,7.8,Debit Card
ORD-2023-00047,2023-10-23,East,ST-13,SP-06,Clothing,Formal Blazer,Phone,Consumer,23,5,131.12,10.4,553.58,269.5,284.08,51.32,26.74,6.3,Bank Transfer
ORD-2023-00048,2023-07-24,North,ST-05,SP-28,Home & Garden,LED Desk Lamp,Partner,Consumer,48,2,310.44,16.6,542.0,248.98,293.02,54.06,60.5,7.7,Credit Card
ORD-2023-00049,2023-08-14,East,ST-16,SP-49,Food & Beverage,Energy Drink Case,Online,SMB,29,15,13.54,16.8,185.37,78.55,106.82,57.63,10.39,8.8,Bank Transfer
ORD-2022-00050,2022-04-22,North,ST-03,SP-40,Home & Garden,Garden Tool Kit,In-Store,Enterprise,39,28,239.74,8.2,4654.15,2446.62,2207.53,47.43,143.88,6.6,Debit Card
ORD-2023-00051,2023-05-06,East,ST-15,SP-36,Electronics,Gaming Mouse,Online,Consumer,29,2,261.24,11.7,628.07,361.88,266.19,42.38,63.29,7.2,Credit Card
ORD-2024-00052,2024-04-30,West,ST-22,SP-16,Food & Beverage,Premium Tea Set,In-Store,Consumer,54,3,49.25,16.8,122.8,41.93,80.87,65.86,5.77,9.7,Cash
ORD-2024-00053,2024-04-29,South,ST-11,SP-18,Sports & Outdoors,Camping Tent,Phone,Consumer,59,8,125.54,16.8,1084.48,494.43,590.05,54.41,64.46,6.9,Bank Transfer
ORD-2024-00054,2024-02-12,East,ST-15,SP-13,Sports & Outdoors,Resistance Bands Set,In-Store,SMB,48,18,230.35,12.9,4562.93,2363.32,2199.61,48.21,170.04,9.5,Credit Card
ORD-2022-00055,2022-11-08,East,ST-13,SP-09,Food & Beverage,Gourmet Nuts Bundle,Online,Enterprise,50,39,27.14,1.4,1248.97,401.7,847.27,67.84,122.16,7.7,Credit Card
ORD-2023-00056,2023-06-27,South,ST-12,SP-26,Home & Garden,Coffee Maker,Phone,Consumer,46,8,331.73,17.0,2028.34,824.44,1203.9,59.35,90.19,7.8,Bank Transfer
ORD-2023-00057,2023-08-12,West,ST-24,SP-06,Food & Beverage,Organic Coffee Box,Phone,Consumer,28,5,52.46,18.1,179.33,55.04,124.29,69.31,12.67,7.6,Credit Card
ORD-2022-00058,2022-10-26,South,ST-10,SP-37,Home & Garden,Air Purifier,Online,Enterprise,46,25,97.51,9.2,2682.4,1354.53,1327.87,49.5,180.11,8.7,Debit Card
ORD-2023-00059,2023-06-05,East,ST-18,SP-01,Sports & Outdoors,Hiking Backpack,Partner,Consumer,32,6,80.92,22.5,393.34,169.47,223.87,56.92,50.24,7.6,Credit Card
ORD-2023-00060,2023-09-11,North,ST-04,SP-31,Electronics,Gaming Mouse,In-Store,Consumer,66,7,261.24,6.0,2019.65,1305.11,714.54,35.38,89.79,6.2,Credit Card
ORD-2022-00061,2022-04-11,West,ST-24,SP-32,Sports & Outdoors,Camping Tent,Phone,SMB,44,9,125.54,11.2,721.0,357.05,363.95,50.48,48.99,6.4,Credit Card
ORD-2022-00062,2022-07-18,West,ST-24,SP-03,Clothing,Denim Jeans,Online,SMB,30,12,124.2,6.7,1503.21,658.66,844.55,56.18,98.67,5.5,Credit Card
ORD-2024-00063,2024-01-20,East,ST-15,SP-11,Clothing,Denim Jeans,Partner,SMB,43,17,124.2,20.7,1852.72,740.54,1112.18,60.03,237.13,9.3,Cash
ORD-2024-00064,2024-03-24,West,ST-25,SP-36,Clothing,Denim Jeans,Online,Consumer,51,5,124.2,10.6,734.02,363.44,370.58,50.49,74.23,6.1,Credit Card
ORD-2022-00065,2022-08-10,East,ST-16,SP-02,Home & Garden,Throw Pillow Set,Online,Consumer,63,8,130.7,18.3,930.42,422.78,507.64,54.56,70.34,9.8,Credit Card
ORD-2023-00066,2023-09-16,West,ST-19,SP-07,Clothing,Sports Hoodie,Online,Consumer,64,7,111.33,10.6,895.98,431.61,464.37,51.83,88.25,9.9,Bank Transfer
ORD-2022-00067,2022-07-22,West,ST-23,SP-27,Sports & Outdoors,Camping Tent,Online,SMB,50,10,125.54,16.5,1234.75,490.06,744.69,60.31,109.78,4.7,Credit Card
ORD-2024-00068,2024-01-05,North,ST-03,SP-13,Sports & Outdoors,Hiking Backpack,Online,SMB,62,3,80.92,2.5,273.48,119.43,154.05,56.33,28.3,6.4,Debit Card
ORD-2023-00069,2023-02-25,North,ST-05,SP-14,Food & Beverage,Premium Tea Set,Online,Enterprise,60,19,49.25,22.5,700.57,266.94,433.63,61.9,66.08,10.0,Credit Card
ORD-2022-00070,2022-09-27,North,ST-02,SP-38,Clothing,Running Shoes,Online,Enterprise,48,14,83.82,8.8,833.76,407.64,426.12,51.11,67.23,9.1,Debit Card
ORD-2022-00071,2022-08-12,East,ST-14,SP-40,Electronics,4K Monitor,In-Store,Consumer,25,7,571.22,8.1,3287.04,1868.2,1418.84,43.16,148.24,5.1,Bank Transfer
ORD-2023-00072,2023-10-22,East,ST-13,SP-09,Clothing,Formal Blazer,In-Store,Consumer,46,5,131.12,8.5,766.68,356.32,410.36,53.52,23.29,8.4,Bank Transfer
ORD-2022-00073,2022-08-23,West,ST-24,SP-50,Food & Beverage,Premium Tea Set,In-Store,Consumer,48,8,49.25,7.7,339.19,138.88,200.31,59.06,12.04,7.2,Credit Card
ORD-2022-00074,2022-11-09,East,ST-16,SP-05,Electronics,Wireless Headphones,Online,Enterprise,45,45,286.18,2.7,15246.63,10865.15,4381.48,28.74,1264.87,8.2,Cash
ORD-2022-00075,2022-09-08,South,ST-12,SP-49,Food & Beverage,Organic Coffee Box,Partner,Consumer,44,4,52.46,4.4,158.69,59.08,99.61,62.77,19.18,6.5,Credit Card
ORD-2022-00076,2022-08-24,West,ST-23,SP-15,Home & Garden,Throw Pillow Set,Partner,Consumer,61,1,130.7,11.0,101.54,52.64,48.9,48.16,11.33,8.9,Debit Card
ORD-2022-00077,2022-03-01,North,ST-06,SP-49,Clothing,Casual Shirt,Online,SMB,31,15,178.38,2.9,1984.69,960.07,1024.62,51.63,203.72,8.6,Debit Card
ORD-2024-00078,2024-02-10,South,ST-09,SP-11,Clothing,Formal Blazer,Online,Consumer,60,1,131.12,4.4,132.1,64.15,67.95,51.44,7.71,8.2,Credit Card
ORD-2022-00079,2022-06-17,South,ST-12,SP-28,Food & Beverage,Energy Drink Case,In-Store,SMB,54,16,13.54,3.7,196.61,78.98,117.63,59.83,8.3,6.3,Credit Card
ORD-2023-00080,2023-03-28,South,ST-11,SP-04,Electronics,4K Monitor,Partner,Consumer,38,2,571.22,1.0,1078.03,729.82,348.21,32.3,86.83,7.1,Credit Card
ORD-2024-00081,2024-02-18,East,ST-14,SP-33,Food & Beverage,Protein Bar Pack,Online,Consumer,24,8,22.99,18.7,104.41,44.82,59.59,57.07,8.73,6.3,Credit Card
ORD-2024-00082,2024-05-05,South,ST-10,SP-02,Sports & Outdoors,Resistance Bands Set,Phone,Consumer,66,2,230.35,8.2,430.27,171.25,259.02,60.2,24.82,6.7,Bank Transfer
ORD-2024-00083,2024-03-31,East,ST-16,SP-20,Home & Garden,Air Purifier,Online,SMB,54,19,97.51,9.3,1918.24,1080.1,838.14,43.69,139.59,7.3,Debit Card
ORD-2022-00084,2022-10-30,South,ST-08,SP-17,Electronics,Smart Watch,Phone,Consumer,33,8,323.54,8.6,2518.49,1626.53,891.96,35.42,158.31,5.3,Bank Transfer
ORD-2023-00085,2023-10-24,West,ST-24,SP-21,Electronics,Wireless Headphones,In-Store,Consumer,39,6,286.18,9.3,2227.19,1342.48,884.71,39.72,86.52,9.7,Debit Card
ORD-2022-00086,2022-06-07,East,ST-13,SP-40,Food & Beverage,Energy Drink Case,In-Store,Consumer,24,4,13.54,6.6,43.03,15.98,27.05,62.86,1.36,8.3,Credit Card
ORD-2022-00087,2022-05-07,East,ST-15,SP-46,Electronics,Smart Watch,Online,Consumer,50,3,323.54,7.2,1023.56,722.68,300.88,29.4,76.35,7.8,Debit Card
ORD-2022-00088,2022-04-18,West,ST-24,SP-22,Electronics,Wireless Headphones,In-Store,SMB,38,7,286.18,6.7,1405.56,912.3,493.26,35.09,44.13,5.7,Debit Card
ORD-2023-00089,2023-12-18,South,ST-12,SP-45,Home & Garden,Air Purifier,In-Store,Consumer,41,6,97.51,15.3,638.67,332.5,306.17,47.94,30.59,7.7,Debit Card
ORD-2024-00090,2024-12-14,North,ST-06,SP-28,Food & Beverage,Organic Coffee Box,Online,SMB,35,18,52.46,4.9,1244.76,560.14,684.62,55.0,78.96,5.6,Credit Card
ORD-2023-00091,2023-08-29,West,ST-19,SP-33,Home & Garden,Garden Tool Kit,Partner,Enterprise,43,49,239.74,4.0,7493.23,3505.4,3987.83,53.22,597.47,8.4,Bank Transfer
ORD-2022-00092,2022-12-06,West,ST-19,SP-27,Clothing,Formal Blazer,Online,SMB,40,17,131.12,5.4,2751.69,1137.78,1613.91,58.65,281.63,5.6,Cash
ORD-2024-00093,2024-08-18,West,ST-20,SP-24,Home & Garden,Throw Pillow Set,Partner,Consumer,40,7,130.7,20.9,951.44,520.48,430.96,45.3,112.34,8.6,Cash
ORD-2024-00094,2024-09-11,West,ST-23,SP-07,Home & Garden,Throw Pillow Set,Phone,SMB,32,19,130.7,4.3,3139.89,1503.21,1636.68,52.13,238.85,8.1,Credit Card
ORD-2023-00095,2023-03-31,West,ST-21,SP-02,Clothing,Denim Jeans,In-Store,SMB,27,3,124.2,6.5,343.07,135.13,207.94,60.61,15.49,7.1,Credit Card
ORD-2022-00096,2022-03-20,South,ST-10,SP-45,Sports & Outdoors,Foam Roller,In-Store,Consumer,27,4,149.11,15.9,457.69,216.62,241.07,52.67,20.8,8.4,Credit Card
ORD-2024-00097,2024-12-16,South,ST-09,SP-16,Clothing,Winter Jacket,Online,Consumer,61,2,50.33,16.0,89.77,40.39,49.38,55.01,7.34,6.8,Credit Card
ORD-2022-00098,2022-10-22,South,ST-07,SP-40,Clothing,Sports Hoodie,In-Store,Consumer,27,6,111.33,2.9,558.66,253.44,305.22,54.63,22.44,6.2,Debit Card
ORD-2024-00099,2024-11-05,East,ST-16,SP-31,Electronics,Gaming Mouse,Partner,SMB,23,5,261.24,6.9,1828.2,1233.3,594.9,32.54,196.89,7.7,Credit Card
ORD-2023-00100,2023-11-12,North,ST-03,SP-35,Clothing,Formal Blazer,Online,Consumer,51,8,131.12,11.4,944.04,465.99,478.05,50.64,55.73,5.7,Bank Transfer
ORD-2024-00101,2024-07-26,North,ST-02,SP-03,Home & Garden,Robot Vacuum,Online,SMB,47,20,115.68,8.8,2476.48,1006.92,1469.56,59.34,215.58,7.0,Bank Transfer
ORD-2022-00102,2022-04-08,West,ST-21,SP-18,Electronics,Bluetooth Speaker,In-Store,SMB,50,15,545.94,6.8,9607.93,5589.5,4018.43,41.82,428.61,9.8,Bank Transfer
ORD-2024-00103,2024-01-23,West,ST-23,SP-18,Home & Garden,Garden Tool Kit,In-Store,SMB,33,13,239.74,3.6,4117.47,1890.02,2227.45,54.1,144.5,5.5,Debit Card
ORD-2022-00104,2022-12-08,East,ST-15,SP-29,Electronics,Bluetooth Speaker,In-Store,SMB,62,4,545.94,3.1,2918.82,1921.68,997.14,34.16,107.18,8.0,Bank Transfer
ORD-2022-00105,2022-11-24,West,ST-20,SP-39,Home & Garden,LED Desk Lamp,Online,Enterprise,63,34,310.44,20.0,11893.29,4826.65,7066.64,59.42,753.62,6.9,Credit Card
ORD-2024-00106,2024-06-28,West,ST-23,SP-09,Food & Beverage,Energy Drink Case,Online,SMB,29,8,13.54,9.2,118.98,42.6,76.38,64.2,9.87,7.9,Credit Card
ORD-2023-00107,2023-06-21,West,ST-24,SP-29,Electronics,4K Monitor,In-Store,Consumer,34,2,571.22,8.4,1337.52,939.98,397.54,29.72,51.74,9.1,Credit Card
ORD-2023-00108,2023-10-17,East,ST-18,SP-05,Food & Beverage,Protein Bar Pack,Partner,Consumer,67,3,22.99,14.8,71.78,27.01,44.77,62.37,5.55,8.7,Debit Card
ORD-2023-00109,2023-02-16,West,ST-20,SP-32,Electronics,Bluetooth Speaker,In-Store,Consumer,30,2,545.94,2.9,783.83,484.16,299.67,38.23,35.43,6.1,Debit Card
ORD-2024-00110,2024-04-18,West,ST-19,SP-09,Sports & Outdoors,Foam Roller,Online,Consumer,55,3,149.11,14.2,464.3,186.62,277.68,59.81,37.21,7.9,Credit Card
ORD-2022-00111,2022-04-24,West,ST-23,SP-10,Clothing,Running Shoes,Online,Consumer,44,5,83.82,16.2,376.12,156.12,220.0,58.49,32.53,7.3,Bank Transfer
ORD-2023-00112,2023-09-13,East,ST-13,SP-33,Home & Garden,Throw Pillow Set,Partner,SMB,64,13,130.7,16.1,965.24,484.02,481.22,49.85,115.36,7.6,Debit Card
ORD-2022-00113,2022-02-28,North,ST-06,SP-50,Food & Beverage,Premium Tea Set,Phone,SMB,62,20,49.25,6.2,652.49,289.38,363.11,55.65,38.75,8.1,Credit Card
ORD-2023-00114,2023-09-02,East,ST-18,SP-04,Electronics,Gaming Mouse,In-Store,SMB,60,13,261.24,13.5,3972.39,2766.1,1206.29,30.37,204.22,6.0,Credit Card
ORD-2022-00115,2022-09-25,West,ST-23,SP-36,Electronics,Tablet HD,In-Store,SMB,37,4,758.83,6.2,3530.09,2172.08,1358.01,38.47,150.98,7.5,Credit Card
ORD-2022-00116,2022-11-24,West,ST-23,SP-47,Clothing,Running Shoes,In-Store,Consumer,53,8,83.82,1.7,873.59,447.57,426.02,48.77,35.06,9.7,Bank Transfer
ORD-2023-00117,2023-05-09,North,ST-03,SP-04,Electronics,USB-C Hub,In-Store,Consumer,65,1,623.93,16.3,596.25,371.62,224.63,37.67,29.32,7.6,Credit Card
ORD-2024-00118,2024-01-20,North,ST-01,SP-37,Food & Beverage,Protein Bar Pack,In-Store,Enterprise,54,45,22.99,6.0,1092.24,489.72,602.52,55.16,48.42,5.4,Credit Card
ORD-2022-00119,2022-09-01,North,ST-01,SP-26,Clothing,Casual Shirt,In-Store,SMB,31,19,178.38,7.7,2899.98,1118.34,1781.64,61.44,83.91,7.0,Credit Card
ORD-2024-00120,2024-11-29,East,ST-17,SP-33,Electronics,Bluetooth Speaker,Online,Consumer,41,8,545.94,12.9,3411.03,2049.91,1361.12,39.9,324.58,5.6,Debit Card
ORD-2024-00121,2024-01-25,South,ST-07,SP-27,Food & Beverage,Organic Coffee Box,In-Store,SMB,63,10,52.46,13.2,477.51,185.05,292.46,61.25,15.32,6.6,Cash
ORD-2024-00122,2024-02-18,North,ST-06,SP-16,Electronics,Wireless Headphones,Online,SMB,48,9,286.18,7.8,2005.63,1367.33,638.3,31.83,200.93,6.3,Credit Card
ORD-2022-00123,2022-05-08,East,ST-17,SP-14,Food & Beverage,Energy Drink Case,In-Store,SMB,33,20,13.54,6.9,266.87,94.24,172.63,64.69,12.42,7.2,Credit Card
ORD-2023-00124,2023-06-26,East,ST-14,SP-16,Clothing,Casual Shirt,Online,Consumer,41,4,178.38,12.6,599.4,268.81,330.59,55.15,47.37,6.0,Cash
ORD-2023-00125,2023-07-15,South,ST-11,SP-44,Food & Beverage,Energy Drink Case,Phone,Consumer,31,5,13.54,20.3,62.66,19.54,43.12,68.82,4.72,6.9,Credit Card
ORD-2023-00126,2023-03-15,North,ST-05,SP-18,Sports & Outdoors,Foam Roller,Online,Enterprise,59,13,149.11,12.2,1992.5,937.03,1055.47,52.97,172.59,6.0,Credit Card
ORD-2022-00127,2022-04-18,North,ST-03,SP-46,Food & Beverage,Premium Tea Set,Online,Consumer,32,8,49.25,8.8,362.53,119.61,242.92,67.01,37.08,6.8,Credit Card
ORD-2022-00128,2022-07-03,East,ST-14,SP-35,Home & Garden,Robot Vacuum,Partner,SMB,33,4,115.68,23.8,302.1,142.43,159.67,52.85,30.13,9.7,Bank Transfer
ORD-2023-00129,2023-08-16,West,ST-19,SP-20,Food & Beverage,Organic Coffee Box,Partner,SMB,51,20,52.46,9.6,1030.25,446.5,583.75,56.66,80.41,6.6,Bank Transfer
ORD-2022-00130,2022-08-19,South,ST-12,SP-30,Home & Garden,Garden Tool Kit,Online,Consumer,40,4,239.74,4.7,714.0,395.63,318.37,44.59,70.73,7.4,Debit Card
ORD-2024-00131,2024-05-25,East,ST-13,SP-26,Home & Garden,Air Purifier,Partner,Consumer,37,7,97.51,5.4,723.22,387.41,335.81,46.43,92.02,6.8,Credit Card
ORD-2022-00132,2022-01-24,South,ST-09,SP-45,Clothing,Formal Blazer,Online,SMB,47,12,131.12,12.6,1292.43,606.69,685.74,53.06,130.73,9.5,Debit Card
ORD-2024-00133,2024-01-23,East,ST-14,SP-09,Food & Beverage,Energy Drink Case,Phone,Consumer,48,8,13.54,14.0,98.11,41.24,56.87,57.97,7.04,7.9,Debit Card
ORD-2022-00134,2022-06-17,East,ST-17,SP-46,Clothing,Sports Hoodie,Online,Consumer,54,3,111.33,4.5,362.46,181.1,181.36,50.04,27.98,5.6,Credit Card
ORD-2023-00135,2023-02-25,East,ST-16,SP-06,Sports & Outdoors,Hiking Backpack,Phone,Consumer,54,1,80.92,10.1,53.39,26.39,27.0,50.57,2.83,8.5,Credit Card
ORD-2022-00136,2022-01-07,West,ST-23,SP-05,Electronics,Bluetooth Speaker,Phone,Consumer,25,2,545.94,22.4,741.98,467.63,274.35,36.98,38.83,8.2,Bank Transfer
ORD-2023-00137,2023-01-04,West,ST-25,SP-42,Sports & Outdoors,Foam Roller,Partner,SMB,46,15,149.11,7.3,1876.14,930.69,945.45,50.39,205.83,5.8,Credit Card
ORD-2023-00138,2023-12-14,North,ST-05,SP-26,Food & Beverage,Premium Tea Set,Phone,Consumer,41,7,49.25,9.7,341.14,144.47,196.67,57.65,17.37,7.2,Credit Card
ORD-2023-00139,2023-12-10,North,ST-02,SP-47,Home & Garden,Robot Vacuum,Phone,SMB,23,5,115.68,3.6,713.38,289.66,423.72,59.4,45.31,7.2,Credit Card
ORD-2022-00140,2022-04-01,South,ST-08,SP-35,Electronics,Laptop Pro,Online,Consumer,36,6,390.62,10.5,1627.75,1109.04,518.71,31.87,155.1,7.3,Cash
ORD-2023-00141,2023-05-01,South,ST-08,SP-43,Food & Beverage,Energy Drink Case,Online,Enterprise,59,21,13.54,11.3,263.09,95.79,167.3,63.59,20.99,10.0,Bank Transfer
ORD-2024-00142,2024-02-20,West,ST-21,SP-45,Clothing,Running Shoes,Online,SMB,56,10,83.82,6.3,1000.04,479.08,520.96,52.09,94.68,7.0,Credit Card
